2017-03-06 00:10:26.469652|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.12.4 (2016-04-25 15:16:45)
2017-03-06 00:10:26.481943|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.4.0-62-generic #83-Ubuntu SMP Wed Jan 18 14:10:15 UTC 2017 x86_64 Binary: 64bit
2017-03-06 00:10:26.595039|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2017-03-06 00:10:26.595111|INFO    |DatabaseQuery |   |dbPlugin version: 3.8.6
2017-03-06 00:10:26.650687|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2017-03-06 00:10:27.293249|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2017-03-06 00:10:39.945896|INFO    |              |   |Puzzle precompute time: 10747
2017-03-06 00:10:39.984622|INFO    |FileManager   |   |listening on 0.0.0.0:30033
2017-03-06 00:10:40.171244|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1, 
2017-03-06 00:10:40.213936|INFO    |Query         |   |listening on 0.0.0.0:10011
2017-03-06 00:19:45.272886|INFO    |Query         |   |query from 1 192.168.0.13:55967 attempted to login with account "serveradmin" and failed!
2017-03-06 00:21:31.369520|INFO    |Query         |   |query from 1 192.168.0.13:55967 attempted to login with account "teamspeak" and failed!
2017-03-06 00:23:31.360118|INFO    |Query         |   |query from 1 192.168.0.13:55967 attempted to login with account "teamspeak" and failed!
2017-03-06 00:35:56.294448|INFO    |Query         |   |query from 5 192.168.0.13:56238 attempted to login with account "serveradmin" and failed!
2017-03-06 00:36:15.139751|INFO    |Query         |   |query from 5 192.168.0.13:56238 issued: login with account "serveradmin"(serveradmin)
2017-03-06 00:39:04.753097|ERROR   |DatabaseQuery |   |db_exec() update clients set client_login_name='serveradmin', client_login_passw error: UNIQUE constraint failed: clients.client_login_name
2017-03-06 01:05:24.543713|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
