2017-03-06 00:10:40.144760|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987
2017-03-06 00:25:35.012990|INFO    |VirtualServer |1  |client (id:3) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2017-03-06 00:25:35.033532|INFO    |VirtualServer |1  |client 'TEST'(id:3) used privilege key 'Ivt5MItjQhCTm74Wj+xuUiNpTU9azQrdUty+vygp' and was added to servergroup 'Server Admin'(id:6)
2017-03-06 00:49:56.364909|INFO    |VirtualServer |1  |permission 'i_client_move_power'(id:202) with values (value:0, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.374286|INFO    |VirtualServer |1  |permission 'i_client_kick_from_channel_power'(id:198) with values (value:0, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.374581|INFO    |VirtualServer |1  |permission 'i_client_ban_power'(id:200) with values (value:0, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.374872|INFO    |VirtualServer |1  |permission 'i_client_kick_from_server_power'(id:196) with values (value:0, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.385244|INFO    |VirtualServer |1  |permission 'b_channel_modify_name'(id:110) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.404964|INFO    |VirtualServer |1  |permission 'b_channel_modify_topic'(id:111) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.431571|INFO    |VirtualServer |1  |permission 'b_channel_modify_description'(id:112) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.444914|INFO    |VirtualServer |1  |permission 'b_channel_modify_password'(id:113) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.474617|INFO    |VirtualServer |1  |permission 'b_channel_modify_codec'(id:114) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.477388|INFO    |VirtualServer |1  |permission 'b_channel_modify_codec_quality'(id:115) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.477664|INFO    |VirtualServer |1  |permission 'b_channel_modify_codec_latency_factor'(id:116) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.477941|INFO    |VirtualServer |1  |permission 'b_channel_modify_maxclients'(id:117) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.478225|INFO    |VirtualServer |1  |permission 'b_channel_modify_maxfamilyclients'(id:118) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.478540|INFO    |VirtualServer |1  |permission 'b_channel_modify_parent'(id:105) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.478817|INFO    |VirtualServer |1  |permission 'b_channel_modify_sortorder'(id:119) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.479093|INFO    |VirtualServer |1  |permission 'b_channel_modify_needed_talk_power'(id:120) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.479411|INFO    |VirtualServer |1  |permission 'b_channel_modify_make_codec_encrypted'(id:123) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.479688|INFO    |VirtualServer |1  |permission 'b_channel_create_permanent'(id:83) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.486603|INFO    |VirtualServer |1  |permission 'i_channel_create_modify_with_codec_maxquality'(id:96) with values (value:10, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.486880|INFO    |VirtualServer |1  |permission 'i_channel_delete_power'(id:129) with values (value:60, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.487173|INFO    |VirtualServer |1  |permission 'b_channel_delete_permanent'(id:125) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.487445|INFO    |VirtualServer |1  |permission 'b_channel_delete_semi_permanent'(id:126) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.487718|INFO    |VirtualServer |1  |permission 'b_channel_delete_temporary'(id:127) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.488041|INFO    |VirtualServer |1  |permission 'b_channel_delete_flag_force'(id:128) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.488332|INFO    |VirtualServer |1  |permission 'b_channel_modify_make_permanent'(id:107) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.488611|INFO    |VirtualServer |1  |permission 'b_channel_modify_make_semi_permanent'(id:108) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:56.488926|INFO    |VirtualServer |1  |permission 'b_channel_modify_make_temporary'(id:109) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Normal'(id:7)
2017-03-06 00:49:58.376823|INFO    |VirtualServer |1  |permission 'b_virtualserver_info_view'(id:23) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.399361|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_list'(id:150) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.411419|INFO    |VirtualServer |1  |permission 'b_virtualserver_client_list'(id:27) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.431208|INFO    |VirtualServer |1  |permission 'b_virtualserver_channel_list'(id:25) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.461968|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_list'(id:153) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.506075|INFO    |VirtualServer |1  |permission 'b_client_request_talker'(id:185) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.522160|INFO    |VirtualServer |1  |permission 'b_client_info_view'(id:189) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.522765|INFO    |VirtualServer |1  |permission 'b_channel_info_view'(id:81) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.523368|INFO    |VirtualServer |1  |permission 'b_channel_create_private'(id:86) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.523967|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_opusvoice'(id:94) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:49:58.524529|INFO    |VirtualServer |1  |permission 'i_client_complain_power'(id:204) was deleted by '1263'(id:3) from servergroup 'Normal'(id:7)
2017-03-06 00:50:41.756044|INFO    |VirtualServer |1  |permission 'b_client_request_talker'(id:185) was deleted by '1263'(id:3) from servergroup 'Guest'(id:8)
2017-03-06 00:50:41.760922|INFO    |VirtualServer |1  |permission 'b_channel_info_view'(id:81) was deleted by '1263'(id:3) from servergroup 'Guest'(id:8)
2017-03-06 00:50:41.761530|INFO    |VirtualServer |1  |permission 'b_client_info_view'(id:189) was deleted by '1263'(id:3) from servergroup 'Guest'(id:8)
2017-03-06 00:50:41.762167|INFO    |VirtualServer |1  |permission 'b_channel_create_modify_with_codec_opusvoice'(id:94) was deleted by '1263'(id:3) from servergroup 'Guest'(id:8)
2017-03-06 00:50:41.775040|INFO    |VirtualServer |1  |permission 'b_channel_modify_name'(id:110) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.789112|INFO    |VirtualServer |1  |permission 'b_channel_modify_topic'(id:111) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.794509|INFO    |VirtualServer |1  |permission 'b_channel_modify_description'(id:112) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.797220|INFO    |VirtualServer |1  |permission 'b_channel_modify_password'(id:113) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.797510|INFO    |VirtualServer |1  |permission 'b_channel_modify_codec'(id:114) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.797796|INFO    |VirtualServer |1  |permission 'b_channel_modify_codec_quality'(id:115) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.798107|INFO    |VirtualServer |1  |permission 'b_channel_modify_codec_latency_factor'(id:116) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.828569|INFO    |VirtualServer |1  |permission 'b_channel_modify_maxclients'(id:117) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.865300|INFO    |VirtualServer |1  |permission 'b_channel_modify_maxfamilyclients'(id:118) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.896586|INFO    |VirtualServer |1  |permission 'b_channel_modify_parent'(id:105) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.917103|INFO    |VirtualServer |1  |permission 'b_channel_modify_sortorder'(id:119) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.927216|INFO    |VirtualServer |1  |permission 'b_channel_modify_needed_talk_power'(id:120) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.946458|INFO    |VirtualServer |1  |permission 'b_channel_modify_make_codec_encrypted'(id:123) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.946737|INFO    |VirtualServer |1  |permission 'i_channel_delete_power'(id:129) with values (value:60, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.947012|INFO    |VirtualServer |1  |permission 'b_channel_delete_permanent'(id:125) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.947286|INFO    |VirtualServer |1  |permission 'b_channel_delete_semi_permanent'(id:126) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.947629|INFO    |VirtualServer |1  |permission 'b_channel_delete_temporary'(id:127) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 00:50:41.947907|INFO    |VirtualServer |1  |permission 'b_channel_delete_flag_force'(id:128) with values (value:1, negated:0, skipchannel:0) was added by '1263'(id:3) to servergroup 'Guest'(id:8)
2017-03-06 01:05:24.701111|INFO    |VirtualServerBase|1  |stopped
